[header]
width=20
height=20
tilewidth=18
tileheight=18
orientation=orthogonal

[tilesets]
tileset=pixel_sprites_sheet.png,18,18,0,0

[layer]
type=Tile Layer 1
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,68,
0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,48,
0,0,0,0,0,0,0,0,47,13,18,18,18,18,18,18,46,45,14,48,
52,0,0,0,0,0,0,0,47,25,0,0,0,0,0,0,0,0,36,48,
7,52,0,0,0,0,0,0,47,25,0,0,0,0,0,0,0,0,26,48,
52,7,52,0,0,0,0,0,47,27,0,0,0,0,0,0,0,0,28,48,
7,52,7,52,0,0,0,0,37,23,34,33,17,43,43,43,43,43,24,38,
52,7,52,7,52,0,0,0,57,0,0,0,0,0,0,0,9,0,0,48,
7,52,7,52,7,52,0,0,67,0,0,0,0,0,0,0,19,0,0,48,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22

