[header]
width=20
height=20
tilewidth=18
tileheight=18
orientation=orthogonal

[tilesets]
tileset=new_pixel_sprites_sheet.png,18,18,0,0

[layer]
type=Tile Layer 1
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,92,
0,0,0,0,0,0,0,0,0,63,17,22,22,22,22,22,62,61,18,64,
72,0,0,0,0,0,0,0,0,63,33,0,53,54,55,56,0,0,48,64,
86,86,0,0,0,0,0,0,0,63,35,0,0,67,68,69,70,0,36,50,
86,86,72,0,0,0,0,0,0,49,31,46,45,21,59,59,59,59,32,64,
7,7,86,86,0,0,0,0,0,77,0,0,0,0,0,0,9,0,0,64,
7,7,86,86,72,0,0,0,0,91,0,0,0,0,0,0,23,0,0,64,
44,44,44,44,44,44,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
44,44,44,44,44,44,44,30,30,30,30,30,30,30,30,30,30,30,30,30,
44,44,44,44,44,44,44,44,30,30,30,30,30,30,30,30,30,30,30,30,
44,44,44,44,44,44,44,44,44,30,30,30,30,30,30,30,30,30,30,30,
44,44,44,44,44,44,44,44,44,44,30,30,30,30,30,30,30,30,30,30,
44,44,44,44,44,44,44,44,44,44,44,30,30,30,30,30,30,30,30,30

